createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2017-03-30,3052337681,无音乐不生活,2,1156328757,那一抹艳丽的色彩·摇滚女声,159780
2018-09-15,1265399818,迢迢,0,4834922094,古风情话 | 心中藏你，何日忘你,274842
2020-01-14,2174875328,Kobayashi,2,7378198403,亲爱的！我又开始想念你了,368059
2020-01-15,930739045,九月,2,7382396309,情感声诉 · 那些歌词里的悲伤,552195
2019-09-13,815658687,北鸢,0,7112323788,节奏蓝调：排遣忧郁的日子,87833
2020-01-14,793407810,四平台资深做单人,2,7381486142,甜美清纯：80年代の日本女星,131020
2020-01-13,1083284863,北鹤,2,7375739818,加班必备！熬夜提神不掉线,131161
2020-01-15,2019262334,王者农药,0,7382789477,上分秘籍｜挥动手指秀爆全场！,808897
2020-01-13,1498030674,星野一,2,7379912782,单身狗禁区！情侣购物专属情歌,831288
2020-01-13,1649239098,君挽弦洛月,0,7376464911,华语清唱 · 空气是最好的伴奏,401971
2020-01-11,695636314,玄冬Bw,2,7371247029,燃向中国风 · 天下风云出我辈,1280653
2019-09-10,2141400257,21savage的老婆,0,7199430132,抄(写)作业洗脑英文【刷题 BGM 】,652112
2020-01-16,2174875328,Kobayashi,2,7369849562,华语流行 · 让心被快乐填满,145966
2020-01-20,793407810,四平台资深做单人,2,7385233808,请问住我心里的你，房租交了么？,51846
2020-01-10,2083220466,酥糖哟,0,7377041820,国产轻音：看书的时光要你陪伴,1825580
2019-11-22,3224423810,红太狼,0,816073683,运动歌曲｜网球锻炼节奏感,107718
2020-01-15,2160865471,Akivn,2,7334207738,伤情日音 · 丧系少女的心酸回忆,88255
2020-01-16,987674549,小众又怎样,0,7371172790,不忘初心，走的再慢也是一种前进,77361
2020-01-13,930739045,九月,2,7375494558,民谣男声 · 山长水阔，最好是你,46322
2019-12-29,3021447911,月月酱,2,7292961571,甜系古风：倾城一顾，念此终生,249920
2020-01-10,4884280,这事让哥来,0,7285388265,怪我不勇敢，要牵手已经太晚,48349
2020-01-16,987674549,小众又怎样,0,7384013402,古风情：唯有相思无尽处,342178
2020-01-16,793407810,四平台资深做单人,2,7384087393,过年放这些歌，亲戚都说特有排面,71764
2020-01-17,3469747313,Hard Music - EDC,0,7385456997,旋律硬核 · Euphoric Hardstyle ,199263
2020-01-01,2083220466,酥糖哟,0,7354822111,实名羡慕！国民好男友之歌,103884
2020-01-16,467638189,蜜糖男孩,2,7383633847,柠檬精上线｜90年代华语告白,82931
2020-01-18,952994273,阿尔法α,0,7383007466,刚柔并济！女子嘻哈的硬气之美,242259
2020-01-16,987674549,小众又怎样,0,7342114612,真爱无私：家永远是你的港湾,49316
2017-04-08,1198547939,Handsup-U,2,3499032873,电子舞曲 · 恣意遨游舞动音律,3027705
2019-06-03,4884280,这事让哥来,0,7019927388,高甜情话，把我的心唱给你听,227715
2020-01-20,1747907171,鹿仁,2,7386774523,心有所恋，用爱筑恨,677539
2020-01-17,3521419564,穿着皮鞋跳大神,0,7380466178,快乐电子 · 聚会气氛助燃剂,145564
2019-12-24,2726942483,熙月月,7,3862487937,前奏一秒沦陷的极致古风,205048
2020-01-17,1662059100,Rose,2,7384596128,民谣：你是贩卖理想的远方,411263
2019-11-22,3224423810,红太狼,0,815980145,悲伤才念情，寂寞才说爱,178433
2020-01-13,3013681427,"Autism""",0,7378929116,高燃BGM：拿下全场最佳MVP,194833
2020-01-17,3490786195,允许部分冷门先热起来,2,7382975427,华语流行 · 轻盈韵律调整心情,254517
2020-01-17,952994273,阿尔法α,0,7385414056,清新乡村调 | 轻吟闲适的美好,585938
2020-01-20,793407810,四平台资深做单人,2,7390028688,甜蜜问答：喜欢一个人是什么感觉,288214
2020-01-17,467638189,蜜糖男孩,2,7376061742,2020 欧美热门新歌速递,7297815
2019-09-13,815658687,北鸢,0,7146740271,欧美磁性男嗓：撩你只需一秒,155726
2020-01-17,2407142727,就是一个听歌der,2,7382874594,民谣 · 思念指向回家的路,121464
2020-01-20,2109403575,兔兔,2,6512357423,轻快电音：提升游戏手感专用,114139
2019-05-05,375217506,韩夜,7,6949607600,京都烟云录｜古风里的前尘往事,836544
2020-01-15,88480387,talent-炎,2,7382890980,每天跑上一千米，体育特招必有你,591289
2020-01-20,987674549,小众又怎样,0,7381783598,你走了，只留下我和一座空城,247135
2019-06-17,55894433,QQ音乐VIP,6,7041004616,民谣诗人的花草树木与远方,261160
2019-04-27,1060444681,硬糖加可乐,2,6952841097,清甜古风 | 巧笑倩兮，美目盼兮,680145
2019-04-25,1083284863,北鹤,2,6950255849,失恋治疗室 : 人生若只如初见,1459223
2020-01-19,1152921504891198894,sun  🐌,0,7384318675,[国风电子]大吉大利，蹦中国迪,155734
2018-10-30,3226975720,Sugarbling。Ada,2,5405553757,大卫 · 林奇 | 荧幕里的梦境歌声,217390
2019-06-05,2915395388,Just Freestyle,2,7025623269,秀你一脸的花式FLOW,396858
2019-07-15,375217506,韩夜,7,7033792320,悠闲古风 · 带你游离俗世凡尘,201183
2019-04-04,1747907171,鹿仁,2,5977222929,效率提加 ：用优美旋律来背课文,1600549
2020-01-19,1027127392,Jazzy本少爺,2,7385657520,春节思亿｜家，我永远的港湾,152139
2018-01-18,2062275939,Lucy,2,3661966285,时代传奇！宇多田光情歌创作精选,695964
2019-05-09,2173517690,少女心的摇滚狗,2,6968958828,律动贝斯：来一次颅内高潮！,117861
2019-07-16,1265399818,迢迢,0,7097607605,古风词话｜宣纸流年寄澍青,100653
2018-10-08,1245280330,花痞,2,5009404136,暗调喜感 · Dark cabaret,86607
2020-01-22,3414308253,鹅猴综艺狸,2,7390016958,千禧之后 | 年年春晚 年年经典 ,212983
2018-08-27,1245280330,花痞,2,4228035832,Twee Pop丨天真烂漫的自由主义,103205
2019-07-01,1060444681,硬糖加可乐,2,7071425150,散步进行时 · 日语民谣女声,389525
2019-06-16,467638189,蜜糖男孩,2,7047664669,玩转Flow · 女性说唱力量 ,69807
2018-09-22,1747907171,鹿仁,2,4487162822,校园广播站 • 经典励志曲,5939636
2019-07-16,1265399818,迢迢,0,7097603133,诗意古风｜世间繁华，南柯一梦,113883
2019-01-28,1841473449,环球音乐国际部,2,3713602712,假期短途旅行必备,119708
2019-07-17,1950666740,★、╰︶,2,7093471332,崛起一族 • 新势力女声Rap,140690
2020-01-16,2303204713,蓝莓 Cake,0,7384437730,我看清了世界，也看清了你,207714
2019-05-29,2335001601,DJ Makino,2,7012989772,蒸 汽 波 | 情 乱 夜 梦 東 京,256988
2019-05-30,2836770691,好饿欧美范,2,7013858562,柔情男声如一股暖意流遍全身,168772
2019-07-17,1978530795,—图南—,2,7094407529,这位少侠请留步,397330
2017-11-09,2117222820,就是爱音乐,2,891350522,鲍勃 · 迪伦的99首高评分作品,1066432
2020-01-10,3414308253,鹅猴综艺狸,2,7374740693,人间所有，能让我想起你的地方,321418
2020-01-16,2407142727,就是一个听歌der,2,7383993768,你走吧，不必勉强牵挂,299511
2020-01-07,467638189,蜜糖男孩,2,7371846294,自驾旅行，领略乡野好风景,125730
2019-12-16,4884280,这事让哥来,0,7285362966,私情密语，爱上你的百媚千娇,72824
2019-12-28,1064273145,゛顾南初槿ぅ,0,7357525238,情歌对唱，甜蜜双份,203718
2018-07-22,1834936922,顾怀安,2,3646132041,电台配上背景纯音，收听暴涨！,325738
2020-01-15,987674549,小众又怎样,0,7335037492,中文电子：街景后退，加速超越,140480
2020-01-06,1498030674,星野一,2,7370522529,来段甜蜜说唱，恢复早起动力,94738
2020-01-15,55894433,QQ音乐VIP,6,7374824837,这儿有一粒让你安静的音乐胶囊,983803
2019-12-18,2184870660,北城相拥-,0,7339063860,年少的我们，早已回不去,215294
2020-01-07,3414308253,鹅猴综艺狸,2,7371186287,改编≠翻唱丨别样演绎同样的经典,698114
2020-01-14,3490786195,允许部分冷门先热起来,2,7380468834,节奏控 · 逛街步伐新模式,200591
2020-01-01,2083220466,酥糖哟,0,7364275296,Vaporwave · 蒸汽浸满冬夜的浴室,139049
2019-06-03,2915395388,Just Freestyle,2,7023416243,韩语 | Rapper温柔起来格外动人,206701
2019-06-20,2395356675,戒摇滚是不可能的,2,7052368168,另类Rock | 还你耳朵新触感,34306
2020-01-13,987674549,小众又怎样,0,7380128421,何时开始，「我们」变成了奢侈,700922
2020-01-13,793407810,四平台资深做单人,2,7362409178,期末考前减压：日系温柔女声,169740
2020-01-13,770048976,金曲之后,2,7344979567,诚品音乐2019年度畅销推荐榜,62058
2020-01-05,1834936922,顾怀安,2,7323293544,搞怪纯音：解锁沙雕闺蜜新姿势,108886
2020-01-03,695636314,玄冬Bw,2,7365847995,浮华褪尽，人比烟花寂寞,454134
2020-01-06,919820535,LANCE$LEE,2,7354748936,舞动嘻哈，青春活力,190595
2020-01-04,467638189,蜜糖男孩,2,7307248697,听 歌 搓 澡 ，水 费 爆 表,120985
2020-01-03,793407810,四平台资深做单人,2,3785573660,你Pick谁？韩国80后女歌手合辑,548837
2020-01-06,2385748641,熊君,0,7370287638,确认过声音！是恋爱的感觉,914724
2020-01-02,1064273145,゛顾南初槿ぅ,0,7365938277,『国潮rap』 点燃你身上的悦动细胞,928747
2019-12-18,3414308253,鹅猴综艺狸,2,7343542004,音乐无国界，翻自日语的经典老歌,393766
